index,sku,filename,brand,model,distributor,defect,source_path
13,WW69,WW69.png,Omega,Omega Seamaster Diver 300M 18K Rose Gold 42MM Green Titanium,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW69.png
14,WW720,WW720.png,Omega,Omega Seamaster Diver 300M Co-axial Master 42MM Ss Men's Watch,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW720.png
15,WW719,WW719.png,Omega,Omega Seamaster Diver 300M James Bond 007 Edition 42MM Titanium,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: angled presentation with looped mesh bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW719.png
16,WW595,WW595.png,Breitling,Breitling Super Avi B04 Gmt 46 Mosquito Ss Leather Men's Watch,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strap and case presentation appears damaged or heavily distorted",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW595.png
17,WW67,WW67.png,Omega,Omega Speedmaster Moonwatch Professional 42MM Silver Dial Leather,WatchWarehouse,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW67.png
18,W1247,W1247.png,Omega,OMEGA Moonphase Co-Axial Master 44.25MM Leather Men's Watch 304.33,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1247.png
19,WW824,WW824.png,Omega,Omega Speedmaster Moonwatch Co-axial Chrono 42MM Ss Men's Watch,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW824.png
20,WW416,WW416.png,Breitling,Breitling Avenger B01 Chronograph 44MM Black Leather Men's Watch,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW416.png
21,W118,W118.png,Breitling,BREITLING Super Chronomat 38MM Green Rubber Men's Watch U17356531L,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W118.png
22,W111,W111.png,Breitling,BREITLING Chronomat Quartz 32MM Blue MOP Diamond Bezel Women's Wat,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W111.png
23,W1102,W1102.png,Breitling,BREITLING Chronomat B01 Triumph 42MM Leather Men's Watch TB0134101,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: visible strap holes and curled strap underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1102.png
24,WL7,WL7.png,Panerai,PANERAI Luminor Quaranta BiTempo Automatic 40MM Green Dial SS Men',WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WL7.png
25,W1240,W1240.png,Omega,OMEGA Seamaster James Bond 007 Edition 42MM Titanium Men's Watch 2,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: exposed NATO keeper hardware",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1240.png
26,W1223,W1223.png,Breitling,BREITLING Super Chronomat B01 SS 44MM Black Dial Men's Watch AB013,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: possible extra or malformed secondary watch component",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1223.png
27,WW231,WW231.png,Breitling,Breitling Avenger B01 Night Mission Chronograph 42MM Leather,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW231.png
28,WW404,WW404.png,Breitling,Breitling Super Avenger B01 Chronograph 46MM Blue Dial Leather,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW404.png
29,W1252,W1252.png,Omega,OMEGA Constellation 18k Yellow Gold 29MM Women's Watch 131.20.29.2,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1252.png
30,WW278,WW278.png,Tag Heuer,Tag Heuer Carrera Chronograph Extreme Sport 44MM Titanium Blue,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW278.png
31,WWN215.92.46.21.01.001,WWN215.92.46.21.01.001.png,Omega,Omega Seamaster Planet Ocean 6000M Co-Axial Master Chronometer 45.5 mm Automatic Black Dial Fabric Strap Men's Watch 215.92.46.21.01.001,WatchWarehouse,caseW-high; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: exposed NATO keeper hardware,/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WWN215.92.46.21.01.001.png
32,W1131,W1131.png,Breitling,BREITLING Navitimer B01 Automatic Chronograph 41MM Silver Dial Men,WatchWarehouse,"canvas,caseW-high,bboxH-low,case-centre-y; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: head-only presentation with bracelet or strap missing",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1131.png
33,WW70,WW70.png,Omega,Omega Seamaster Planet Ocean 600M 42MM Black Dial Rubber Men's,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW70.png
34,W1199,W1199.png,Breitling,BREITLING Navitimer B01 CHRONO 43MM SS Silver Dial Men's Watch AB0,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1199.png
35,W1243,W1243.png,Omega,OMEGA De Ville Prestige AUTO SS 36.8MM Men's Watch 424.25.37.20.58,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1243.png
36,W136,W136.png,Breitling,BREITLING Super AVI B04 P-51 Mustang Chronograph 46MM Black Dial L,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W136.png
37,W1206,W1206.png,Breitling,BREITLING Chronomat B01 AUTO 42MM SS Grey Dial Men's Watch EB01341,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1206.png
38,WW374,WW374.png,Omega,Omega De Ville Hour Vision Automatic Ss 41MM Brown Dial Men's,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW374.png
39,WL1,WL1.png,Cartier,CARTIER Ballon Bleu de Cartier AUTO 40MM SS Silver Dial Men's Watc,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WL1.png
40,W159,W159.png,Breitling,BREITLING Top Time B01 Racing Automatic 38MM Black Dial Leather Me,WatchWarehouse,caseW-low; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: visible strap holes and exposed keeper hardware,/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W159.png
41,W128,W128.png,Breitling,BREITLING Lady Premier Automatic 36MM Green Dial Diamond Bezel Wom,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W128.png
42,WWNTB0134101M1X1,WWNTB0134101M1X1.png,Breitling,Breitling Chronomat B01 42 Triumph Limited Edition Chronograph Grey Dial Leather Strap Men's Watch TB0134101M1X1,WatchWarehouse,caseW-high; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: visible strap holes,/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WWNTB0134101M1X1.png
43,WL11,WL11.png,Panerai,PANERAI Luminor Due 3 Days 45MM Automatic Men's Watch PAM00674,WatchWarehouse,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WL11.png
44,W1204,W1204.png,Breitling,BREITLING Super Avi B04 GMT CHRONO 46 Mosquito Night Fighter Men's,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1204.png
45,W1178,W1178.png,Omega,OMEGA De Ville Prestige AUTO 32.7MM MOP Dial Leather Women's Watch,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1178.png
46,WW574,WW574.png,Omega,Omega Seamaster Aqua Terra Shades Automatic 38MM Men's Watch,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW574.png
47,W1180,W1180.png,Breitling,BREITLING Super Avi B04 CHRONO GMT 46 Mosquito SS Men's Watch YB04,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1180.png
48,WL8,WL8.png,Panerai,PANERAI Radiomir 3 Days Acciaio 47MM Special Edition Watch PAM0079,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WL8.png
49,W1203,W1203.png,Breitling,BREITLING Superocean AUTO 42MM Rubber Men's Watch U17375211B1S1,WatchWarehouse,"canvas,caseW-high,bboxH-low,case-centre-y; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: head-only presentation with bracelet or strap substantially missing",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1203.png
50,WL10,WL10.png,Panerai,PANERAI Radiomir 1940 47MM SS Limited Edition Brown LTHR Watch PAM,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WL10.png
51,W1163,W1163.png,Breitling,BREITLING Top Time B01 Ford Mustang Automatic 41MM Green Dial Men',WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped mesh bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1163.png
52,WW825,WW825.png,TAG Heuer,TAG HEUER Carrera Porsche Orange Racing AUTO 44MM Leather Men's Wa,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW825.png
53,W1164,W1164.png,Breitling,BREITLING Top Time B01 Chevrolet Corvette Automatic 41MM Red Dial,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped mesh bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1164.png
54,W1150,W1150.png,TAG Heuer,TAG HEUER Monaco 39MM CHRONO AUTO Men's Watch CBL2113.FC6177,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1150.png
55,W1167,W1167.png,Breitling,BREITLING Premier B01 Automatic Chronograph 42MM Peach Dial Men's,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1167.png
56,WW71,WW71.png,Omega,Omega Seamaster Diver 300M Automatic 42MM Black Dial Rubber Men's,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled rubber strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW71.png
57,W1237,W1237.png,Omega,OMEGA Seamaster Aqua Terra 38MM SS Summer Blue Dial Men's Watch 22,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1237.png
58,W268,W268.png,TAG Heuer,TAG HEUER Carrera Chronograph SS 39MM Blue Dial Men's Watch CBS221,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: bracelet appears heavily distorted and angled",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W268.png
59,W1162,W1162.png,Breitling,BREITLING Top Time B01 Triumph Automatic 41MM Blue Dial Men's Watc,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped mesh bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1162.png
60,WW917,WW917.png,Omega,Omega Seamaster Automatic Ss 42MM Black Dial Men's Watch,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW917.png
61,W10,W10.png,Breitling,BREITLING Top Time B01 Deus Automatic 41MM Black Dial Leather Men',WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: visible strap holes and curled strap underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W10.png
62,W130,W130.png,Breitling,BREITLING Lady Premier Quartz 32MM Blue Dial Diamond Bezel Women's,WatchWarehouse,"canvas,caseW-high,bboxH-low,case-centre-y; FAIL_CONTENT: incomplete bracelet; lower bracelet is missing; human full-resolution review: incomplete product image; lower bracelet missing",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W130.png
63,WW814,WW814.png,Breitling,BREITLING Lady Premier Quartz 32MM Blue Dial Diamond Bezel Women's,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW814.png
64,WW408,WW408.png,Breitling,Breitling Avenger B01 Chronograph 42MM Green Dial Leather,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW408.png
65,W1245,W1245.png,Breitling,Breitling Avenger B01 Chronograph 42MM Green Dial Leather,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1245.png
66,WW868,WW868.png,Breitling,BREITLING Chronomat SS 28MM Diamond Black MOP Dial Women's Watch A,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW868.png
67,W1218,W1218.png,Breitling,BREITLING Superocean Heritage CHRONO AUTO 44MM Men's Watch M133132,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: exposed NATO keeper hardware and curled strap",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1218.png
68,WWN103897,WWN103897.png,Bulgari,Bulgari BVLGARI BVLGARI Quartz 26mm 18kt Yellow Gold Leather Strap Women's Watch 103897,WatchWarehouse,caseW-low; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: severely zoomed-out full-strap presentation,/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WWN103897.png
69,W264,W264.png,TAG Heuer,TAG HEUER Formula 1 Chronograph x Oracle Red Bull Racing 44MM Blue,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W264.png
70,W11,W11.png,Cartier,CARTIER Panthere de Cartier SLVR Dial Women's Bracelete Watch WSPN,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: visible strap holes",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W11.png
71,W116,W116.png,Breitling,BREITLING Premier B01 Chronograph SS 42MM Green Dial Men's Watch A,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W116.png
72,WW447,WW447.png,Breitling,Breitling Avenger B01 Chronograph Automatic 44MM Tan Dial,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW447.png
73,WW573,WW573.png,Omega,Omega Seamaster Aqua Terra Shades Automatic 38MM Men's Watch,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW573.png
74,WW465,WW465.png,Breitling,Breitling Avenger Automatic Gmt 44MM Blue Dial Men's Watch,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW465.png
75,WW624,WW624.png,Breitling,Breitling Navitimer Auto 41MM Black Leather Men's Watch,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/WW624.png
76,W1207,W1207.png,Breitling,BREITLING Navitimer AUTO GMT 41MM SS Beige Dial Men's Watch A32310,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1207.png
77,W1220,W1220.png,Breitling,BREITLING Chronomat AUTO 36MM SS MOP Dial Women's Watch A10380101A,WatchWarehouse,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",/Users/averyandon/Documents/Codex/2026-09-03/i-need-you-to-edit-and/work/gembreak-images/watches-only/W1220.png
