sku,caseW,bboxH,cxRatio,cyRatio,canvas,color_mode,extra_chunks,metric_warnings,pass_geometry,pass_content,human_classification,needs_rerender,notes,remediation_status,post_remediation_needs_rerender,post_caseW,post_bboxH,post_cxRatio,post_cyRatio,post_canvas,post_color_mode,post_metric_warnings,post_visual_review,post_sha256
G0,0.969178,0.981783,0.501712,0.499521,584x1043,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.969178,0.981783,0.501712,0.499521,584x1043,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,dc8021ea98cfb3012173085eb8f5f89bb1cf0cb1252794ab0913efda7e6d0a46
W1101,0.994755,1.0,0.501748,0.5,572x1000,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.994755,1.0,0.501748,0.5,572x1000,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,b8c6db3116be41e6fc7434ee839abb8529fd103a22d290eb6929ef07ea5e3436
G1,1.0,1.0,0.5,0.5,915x1400,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,1.0,1.0,0.5,0.5,915x1400,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,e0a8fb8591a430772365854a2023af4a506e5ade689ec1fa864060ae43e34c76
WW68,0.983022,0.995,0.501698,0.4975,589x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",rerendered-and-approved,False,0.779297,0.877604,0.500000,0.500000,1024x1536,RGBA,,PASS,6ecbf3f62038aa4749706cfbb7dcebcb0de2b292671cac895a64601160a1f9e7
WWN101924,0.873047,0.878906,0.5,0.499349,1024x1536,RGBA,,caseW-high,False,True,acceptable variation,False,caseW-high; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.873047,0.878906,0.5,0.499349,1024x1536,RGBA,caseW-high,acceptable variation,c55b7f61e023654f2be46e4c8892ab4f97a42b3579a02a4c24f050ec5154cd61
WWNG0A46023,0.741211,0.906901,0.500488,0.499674,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.741211,0.906901,0.500488,0.499674,1024x1536,RGBA,,approved,8d59f637395c1b8b80e758b8c380882be3400e543ffa6351ac84883d0fe6a009
WWN275378-5008,0.693359,0.906901,0.5,0.500326,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.693359,0.906901,0.5,0.500326,1024x1536,RGBA,caseW-low,acceptable variation,c45a34b13631cbebe96ca2e8179a88be3a503cc3dc94e73d2d4d751378a2cd64
W19,0.817383,0.93099,0.526855,0.494792,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from legacy catalog black-background review; pending v2 candidate recheck,unchanged-protected,False,0.817383,0.93099,0.526855,0.494792,1024x1536,RGBA,,approved,88713780ec569a9b33b50ca1dae32d6691a916d173dae0566356085e5f2e6485
WWNM126710BLRO-0002,0.797852,0.906901,0.499512,0.500326,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.797852,0.906901,0.499512,0.500326,1024x1536,RGBA,,approved,d0d79f41e424dd2b604c4d390a69e2af6bab210775dfebd4ee42be15bfca8992
WWN103146,0.586914,0.907552,0.499512,0.5,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.586914,0.907552,0.499512,0.5,1024x1536,RGBA,caseW-low,acceptable variation,bcd083e6c8dc64b67c9102278e29770c078c34a48bb3ad1caa8a5d4a389381e5
WWNG0A43010,0.8125,0.906901,0.5,0.500326,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.8125,0.906901,0.5,0.500326,1024x1536,RGBA,,approved,7620c1c802fa8e6d606aea8ce99545b49ad5ce6523a901ae794b6d936fabab45
W12,0.908273,0.932222,0.499101,0.499444,556x900,RGBA,,canvas|caseW-high,False,False,true failure,True,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with visible strap underside",rerendered-and-approved,False,0.778320,0.911458,0.499512,0.500000,1024x1536,RGBA,,PASS,ae63a8dee950e4182a213076a15ed443669a8f648ed858fba45c07ae8448ff8e
WW967,0.932707,0.930812,0.499218,0.499539,639x1084,RGBA,,canvas|caseW-high,False,False,true failure,True,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",rerendered-and-approved,False,0.780273,0.911458,0.500488,0.500000,1024x1536,RGBA,,PASS,cdcb9a859a321c276c3cad7bdb29103287809185f38dfce727d0e152f3aa4f54
WW965,0.983491,0.992,0.501179,0.504,424x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.780273,0.911458,0.499512,0.500000,1024x1536,RGBA,,PASS,0edc103738ce9dbdc944fa3a6fce7757d3028dde44ddd7184e19be14e8632fc1
WWN301.PB.131.RX,0.869141,0.907552,0.5,0.5,1024x1536,RGBA,,caseW-high,False,True,acceptable variation,False,caseW-high; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.869141,0.907552,0.5,0.5,1024x1536,RGBA,caseW-high,acceptable variation,b1becf77c5a5c457b9e5d655a3af487fa471d35c18856c8b933909f68ef13389
WW971,0.932907,0.934366,0.5,0.5,626x1097,RGBA,,canvas|caseW-high,False,True,acceptable variation,False,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.932907,0.934366,0.5,0.5,626x1097,RGBA,canvas|caseW-high,acceptable variation,2c4df2fb71708ea576e62a3441d25f00f4a15adf6b575afa7c75c3585662a1a8
WW972,0.984746,0.985335,0.499153,0.499083,590x1091,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",rerendered-and-approved,False,0.780273,0.895182,0.500488,0.499674,1024x1536,RGBA,,PASS,df7596308cd2a0a1ffb39688debfa2c2a2a3ab2def82f47272ba9319be4fa24a
WWN161926-1001,0.833984,0.909505,0.5,0.500977,1024x1536,RGBA,,caseW-high,False,True,acceptable variation,False,caseW-high; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.833984,0.909505,0.5,0.500977,1024x1536,RGBA,caseW-high,acceptable variation,90caaa6dd67ceb1d3c9a1cc229ecaf9ad38c9b10647929156f7dd810ee78db0d
WW65,0.981356,1.0,0.499153,0.5,590x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: possible severe bracelet distortion",rerendered-and-approved,False,0.780273,0.869141,0.500488,0.500326,1024x1536,RGBA,,PASS,31145920270662b429a87c721de4dcc8ee326613c2d33f53b2390144e66330af
WW66,0.984615,1.0,0.500855,0.5,585x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: possible severe bracelet distortion",rerendered-and-approved,False,0.780273,0.867839,0.500488,0.499674,1024x1536,RGBA,,PASS,8e32e8aa9ac2f6c58d81a374e4d5dd0b732423dd528bbaa77d30649fdce12d5d
WW449,0.894378,0.933333,0.5,0.5,587x960,RGBA,,canvas|caseW-high,False,True,acceptable variation,False,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.894378,0.933333,0.5,0.5,587x960,RGBA,canvas|caseW-high,acceptable variation,7960273bc469b3f670a75729b177940a7dd097704e3aa6426864dcbe678fa2a9
WWNG0A47027,0.761719,0.906901,0.5,0.499674,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.761719,0.906901,0.5,0.499674,1024x1536,RGBA,,approved,3ced080abb0d3c7231f6266f723bcf12332f889b3d33b361ff889fc65efc6f78
WW721,0.982669,0.914679,0.498267,0.463761,577x1090,RGBA,,canvas|caseW-high|case-centre-y,False,False,true failure,True,"canvas,caseW-high,case-centre-y; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: head-only presentation with bracelet or strap missing",rerendered-and-approved,False,0.780273,0.861979,0.500488,0.500000,1024x1536,RGBA,,PASS,20d1c0e2d81fdfaa666941fc69632297e8d04d52af8050a7328385b78c34cf6f
WWN298609-3003,0.824219,0.905599,0.5,0.500326,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.824219,0.905599,0.5,0.500326,1024x1536,RGBA,,approved,43871c230a44147623fcd208875556474f1e07dea3678ff2633f3dbfc8c04793
WWN525.CF.0130.RX.ORL19,0.814453,0.906901,0.5,0.500326,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.814453,0.906901,0.5,0.500326,1024x1536,RGBA,,approved,cbc06c8232eb2e627334c54e9098472c6a2e71810d36864e30614a1480ab3550
WWNM126610LN-0001,0.763672,0.908854,0.499023,0.501302,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.763672,0.908854,0.499023,0.501302,1024x1536,RGBA,,approved,51a524225e36b021d06ce7c2f4e248f771921327f43e54e5effc9b2bf552081a
WW195,0.952715,0.999,0.501751,0.5005,571x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with visible strap underside",rerendered-and-approved,False,0.779297,0.863281,0.500000,0.500000,1024x1536,RGBA,,PASS,89c201fb9f4c2a2041de3b03631f2371a9220ad76eb5031aa2e576c19bd35037
WWNM126610LV-0002,0.814453,0.906901,0.499512,0.499674,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.814453,0.906901,0.499512,0.499674,1024x1536,RGBA,,approved,6e38bd908fea051072999db9ecd962c303220ba4329a38e539ef6b4c512a8580
WWN278615-6001,0.827148,0.906901,0.499512,0.500326,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.827148,0.906901,0.499512,0.500326,1024x1536,RGBA,,approved,014699974f60abda7d56e973b243c232e3a7358a42ce1348b30041ed6de25f5e
WL14,0.892105,0.937,0.498684,0.4985,760x1000,RGBA,,canvas|caseW-high,False,False,true failure,True,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",rerendered-and-approved,False,0.779297,0.911458,0.500000,0.500000,1024x1536,RGBA,,PASS,82e42fe50aa06c4815b09e821b01451b4a48ae273bb8c33027fabaffce9164a6
G7,0.967159,0.980989,0.498358,0.501901,609x1052,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.967159,0.980989,0.498358,0.501901,609x1052,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,7b6a95b43d286830187d83366d8aede0deab1f17c77f632a3c0df414bfe91265
WWN311.63.44.51.99.001,0.860352,0.906901,0.499512,0.500326,1024x1536,RGBA,,caseW-high,False,True,acceptable variation,False,caseW-high; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.860352,0.906901,0.499512,0.500326,1024x1536,RGBA,caseW-high,acceptable variation,431ff5dc7a0da267e6f2a8c3ef5f3b4ddb5f0cf43b81dbcc0aa9ae0eaf589c5b
WWN275378-5005,0.704102,0.906901,0.499512,0.500326,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.704102,0.906901,0.499512,0.500326,1024x1536,RGBA,caseW-low,acceptable variation,9770278e3d8d580a2ed31b5664775feb84b7d3f7719c103a53f813b357a2a106
WW715,0.983486,0.994,0.5,0.503,545x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.780273,0.852865,0.500000,0.500000,1024x1536,RGBA,,PASS,5eb35b07897471e5db3dec185712032d90f5851b8c60565b67f90c102faf6054
WWN304.30.43.52.01.001,0.797852,0.90625,0.499512,0.5,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.797852,0.90625,0.499512,0.5,1024x1536,RGBA,,approved,f93472577e28b780d60b00413a5a7cf98ced371bcde53fd1099afa77e51578dc
W1251,0.741211,0.919271,0.519531,0.483073,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from legacy catalog black-background review; pending v2 candidate recheck,unchanged-protected,False,0.741211,0.919271,0.519531,0.483073,1024x1536,RGBA,,approved,562bdb326df7fc3ba4eba38b1a67dd45bd9f8ce9d5edcc646984dbebc7d150b7
WW69,0.979866,1.0,0.499161,0.5,596x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",rerendered-and-approved,False,0.780273,0.907552,0.500000,0.500000,1024x1536,RGBA,,PASS,4dc334dc4639ae487558db8056a7e9f677719be7bdc1f9b2ed808bce7322eabf
WWNM126300-0006,0.791016,0.909505,0.5,0.500977,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.791016,0.909505,0.5,0.500977,1024x1536,RGBA,,approved,5e77176432b89046b499bac1d22fcd160630dd50864bb9857c63030c06f340a3
WWNR17329F41G1P1,0.848633,0.907552,0.5,0.5,1024x1536,RGBA,,caseW-high,False,True,acceptable variation,False,caseW-high; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.848633,0.907552,0.5,0.5,1024x1536,RGBA,caseW-high,acceptable variation,c865c8522faf6d1403498c452f1ab22ca025b8f40cbf57b5f2dc94e541c3ba2e
WL2,0.695312,0.900391,0.512695,0.481445,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.695312,0.900391,0.512695,0.481445,1024x1536,RGBA,caseW-low,acceptable variation,5cd826871e95971564191447b2dd47258b50a7a243560e1dcefd4aa5171ee20c
WW720,0.98524,0.995,0.5,0.5025,542x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.780273,0.872396,0.500000,0.500000,1024x1536,RGBA,,PASS,223023136e62dc769a2e2b2e6b5e37107388dc33cf211635ce1f80f51b3aa235
WWN103068,0.875,0.888672,0.5,0.499674,1024x1536,RGBA,,caseW-high,False,True,acceptable variation,False,caseW-high; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.875,0.888672,0.5,0.499674,1024x1536,RGBA,caseW-high,acceptable variation,c77f941064d2fae05f3b43c9729d3fb9e2f022b6538a4145ff5d7a85277eca83
W1123,0.981785,1.0,0.5,0.5,549x900,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.981785,1.0,0.5,0.5,549x900,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,346892b60a8441c157ad4caba514db3896676590734a575c8dacc3a1a06843ed
WWNM79310-0001,0.708984,0.906901,0.5,0.499674,1024x1536,RGBA,,caseW-low,False,True,acceptable variation,False,caseW-low; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.708984,0.906901,0.5,0.499674,1024x1536,RGBA,caseW-low,acceptable variation,2a27c7444949679bb2d4793bfd311fb18734ec1032dd34f73d7bdc1100607b53
WW102,0.887143,1.0,0.512143,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.887143,1.0,0.512143,0.5,700x1000,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,0718f6517a82ef30b6f3d5bf74e21324da6f94892470c69938943f238f3b6aaf
WWNV 43 SC SKULL LOES VAN DELFT NR BR (NR),0.799805,0.906901,0.499512,0.500326,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.799805,0.906901,0.499512,0.500326,1024x1536,RGBA,,approved,b268c1481338057e2b5a70cbb4ef6d39aa3b80bf3ce88926cbcc3eda15f58f91
W135,0.979675,1.0,0.498984,0.5,492x900,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.979675,1.0,0.498984,0.5,492x900,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,c5a1c9bbaed4c32dc8711afc77d9baaf8cfdf1d3801c439a6cc973a450836f95
WW719,0.998252,0.978,0.499126,0.498,572x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: angled presentation with looped mesh bracelet",rerendered-and-approved,False,0.780273,0.858724,0.500000,0.500326,1024x1536,RGBA,,PASS,2b8c282f4fc6e493994ef4a90578a9efa4864a42431425a15a8388e222a04e43
WW595,0.938571,1.0,0.479286,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strap and case presentation appears damaged or heavily distorted",rerendered-and-approved,False,0.779297,0.899740,0.500488,0.500000,1024x1536,RGBA,,PASS,a070ed80f7fd1220b1816a5e1bfe4f87aa6407fbe6a0bffb9b15714e5419ef91
WW67,0.91709,0.934,0.499154,0.5,591x1000,RGBA,,canvas|caseW-high,False,False,true failure,True,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",rerendered-and-approved,False,0.780273,0.893229,0.500488,0.500000,1024x1536,RGBA,,PASS,ec4bd6d4be07cd12494ede17b3d673e03f4ddea5f040b58cd4038ec096f8d250
W126,0.984881,0.984444,0.49892,0.5,463x900,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.984881,0.984444,0.49892,0.5,463x900,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,d810efd45dd05391964cda699089d145087918b1e4d8d9fc3b03db4ffae71f2a
W112,0.983373,1.0,0.501188,0.5,421x900,RGBA,,canvas|caseW-high|bboxH-high,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.983373,1.0,0.501188,0.5,421x900,RGBA,canvas|caseW-high|bboxH-high,acceptable variation,ecf75c2b36975e64037e4df5e441501543168a27a8df07cde41b153794805b37
W1247,0.983607,1.0,0.5,0.5,549x900,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap",rerendered-and-approved,False,0.780273,0.911458,0.499512,0.500000,1024x1536,RGBA,,PASS,80b470cd655ee4fe0a919f99946c0710ac75b639ae5dd6359d94891be48a3b05
WWNG0A49022,0.8125,0.906901,0.5,0.500326,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.8125,0.906901,0.5,0.500326,1024x1536,RGBA,,approved,1f763dd285571983993bf73c579b17bc672f3a111d1160b254c2d7d5e432f7b7
W1115,0.794922,0.90625,0.535156,0.496745,1024x1536,RGBA,,case-centre-x,False,True,acceptable variation,False,case-centre-x; PASS_CONTENT from legacy catalog black-background review,unchanged-protected,False,0.794922,0.90625,0.535156,0.496745,1024x1536,RGBA,case-centre-x,acceptable variation,cfa1c5130a71075ba638eba3fcdd5be34fed6dfde4d0197939d155fdfa024ca1
WWNM224270-0001,0.730469,0.907552,0.499023,0.5,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.730469,0.907552,0.499023,0.5,1024x1536,RGBA,,approved,83b9af0339a70038113ab57da066094d916dc084e12ed5dd56364f25aefa1ca2
WW824,0.982922,0.997,0.499051,0.4985,527x1000,RGBA,,canvas|caseW-high|bboxH-high,False,False,true failure,True,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet",rerendered-and-approved,False,0.780273,0.895182,0.500488,0.499674,1024x1536,RGBA,,PASS,c45825c418d40db0fc7b09833fb2f2c25790d78364466085c7051965af121f50
WWN311.92.44.51.01.005,0.855469,0.90625,0.5,0.5,1024x1536,RGBA,,caseW-high,False,True,acceptable variation,False,caseW-high; PASS_CONTENT from 544-watch individual black-background review,unchanged-protected,False,0.855469,0.90625,0.5,0.5,1024x1536,RGBA,caseW-high,acceptable variation,62298ff4ad4cf16131cf7152eee94c5cb6af26f26b195f8d7b03505b945e0415
WWN298617-3001,0.74707,0.906901,0.499512,0.500326,1024x1536,RGBA,,,True,True,approved,False,PASS_CONTENT from 544-watch individual black-background review; pending v2 candidate recheck,unchanged-protected,False,0.74707,0.906901,0.499512,0.500326,1024x1536,RGBA,,approved,dd416a40ed64971fd58a020d2ab2f88c45fb5a8c6e14425401109fa06b43bf9d
W123,0.935606,0.825556,0.5,0.499444,528x900,RGBA,,canvas|caseW-high|bboxH-low,False,True,acceptable variation,False,"canvas,caseW-high,bboxH-low; PASS_CONTENT from legacy catalog black-background review",unchanged-protected,False,0.935606,0.825556,0.5,0.499444,528x900,RGBA,canvas|caseW-high|bboxH-low,acceptable variation,0e3821cf9a86d8a6cff2812ac598ff0e3462ccb137758a2dfa9cb3efc389b35d
