sku,human_classification,caseW,bboxH,cxRatio,cyRatio,canvas,color_mode,extra_chunks,metric_warnings,notes
WWN215.92.46.21.01.001,true failure,0.862305,0.90625,0.499512,0.5,1024x1536,RGBA,,caseW-high,caseW-high; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: exposed NATO keeper hardware
W1131,true failure,0.983666,0.788889,0.500907,0.394444,551x900,RGBA,,canvas|caseW-high|bboxH-low|case-centre-y,"canvas,caseW-high,bboxH-low,case-centre-y; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: head-only presentation with bracelet or strap missing"
WW70,true failure,0.981788,1.0,0.5,0.5,604x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
W1199,true failure,0.842857,1.0,0.495,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1243,true failure,0.877408,0.995,0.507005,0.5005,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W136,true failure,0.985816,0.993333,0.5,0.503333,564x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1206,true failure,0.972727,1.0,0.499091,0.5,550x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW374,true failure,0.981197,1.0,0.5,0.5,585x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WL1,true failure,0.943958,0.985,0.501751,0.5045,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W159,true failure,0.65332,0.940104,0.51709,0.486328,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: visible strap holes and exposed keeper hardware
W128,true failure,0.985075,0.997778,0.501066,0.501111,469x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WWNTB0134101M1X1,true failure,0.851562,0.907552,0.5,0.5,1024x1536,RGBA,,caseW-high,caseW-high; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: visible strap holes
WL11,true failure,0.888889,0.933594,0.499376,0.499609,801x1280,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
W1204,true failure,0.979136,1.0,0.496274,0.5,671x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1178,true failure,0.983607,1.0,0.5,0.5,549x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW574,true failure,0.986434,1.0,0.500969,0.5,516x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1180,true failure,0.985765,1.0,0.5,0.5,562x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
WL8,true failure,0.910979,0.966,0.510386,0.501,337x500,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1203,true failure,0.985891,0.813333,0.5,0.593333,567x900,RGBA,,canvas|caseW-high|bboxH-low|case-centre-y,"canvas,caseW-high,bboxH-low,case-centre-y; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: head-only presentation with bracelet or strap substantially missing"
WL10,true failure,0.927971,0.971875,0.506002,0.498437,833x1280,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1163,true failure,0.983516,1.0,0.499084,0.5,546x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped mesh bracelet"
WW825,true failure,0.987037,1.0,0.499074,0.5,540x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
W1164,true failure,0.983607,1.0,0.499089,0.5,549x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped mesh bracelet"
W1150,true failure,0.985267,1.0,0.5,0.5,543x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1167,true failure,0.981481,1.0,0.498148,0.5,540x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WW71,true failure,0.981481,1.0,0.498316,0.5,594x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled rubber strap"
W1237,true failure,0.984914,1.0,0.498922,0.5,464x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W268,true failure,0.966783,1.0,0.495629,0.5,572x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: bracelet appears heavily distorted and angled"
W1162,true failure,0.983957,1.0,0.500891,0.5,561x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped mesh bracelet"
WW917,true failure,0.983278,0.999,0.501672,0.4995,598x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W10,true failure,0.984496,1.0,0.5,0.5,516x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: visible strap holes and curled strap underside"
W130,true failure,0.983568,0.688889,0.501174,0.344444,426x900,RGBA,,canvas|caseW-high|bboxH-low|case-centre-y,"canvas,caseW-high,bboxH-low,case-centre-y; FAIL_CONTENT: incomplete bracelet; lower bracelet is missing; human full-resolution review: incomplete product image; lower bracelet missing"
WW814,true failure,0.984906,1.0,0.5,0.5,530x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW408,true failure,0.981667,1.0,0.5,0.5,600x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1245,true failure,0.981343,1.0,0.5,0.5,536x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW868,true failure,0.978548,0.995455,0.5,0.502273,606x1100,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1218,true failure,0.983137,1.0,0.5,0.5,593x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: exposed NATO keeper hardware and curled strap"
WWN103897,true failure,0.240234,0.906901,0.5,0.500326,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: severely zoomed-out full-strap presentation
W264,true failure,0.852857,0.999,0.497143,0.5005,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W11,true failure,0.984556,1.0,0.5,0.5,518x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: visible strap holes"
W116,true failure,0.981481,1.0,0.5,0.5,540x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW447,true failure,0.987654,1.0,0.5,0.5,648x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW573,true failure,0.986538,1.0,0.499038,0.5,520x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW465,true failure,0.984152,1.0,0.498415,0.5,631x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW624,true failure,0.979933,0.979167,0.5,0.510417,598x816,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1207,true failure,0.84,1.0,0.482857,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1220,true failure,0.987013,0.993333,0.5,0.503333,462x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW340,true failure,0.956607,1.0,0.515779,0.5,507x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WWN388563-3005,true failure,0.271484,0.90625,0.5,0.5,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: severely zoomed-out full-strap presentation
W1219,true failure,1.0,1.0,0.5,0.5,514x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped mesh bracelet"
W1208,true failure,0.865714,1.0,0.472857,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WWN310.32.42.50.01.001,true failure,0.835938,0.907552,0.5,0.5,1024x1536,RGBA,,caseW-high,caseW-high; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: exposed NATO keeper hardware
W1137,true failure,0.851429,1.0,0.5,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: bracelet and cutout appear visibly damaged"
WW512,true failure,0.982114,1.0,0.500813,0.5,615x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: possible excessive bracelet perspective"
WW511,true failure,0.983471,1.0,0.501653,0.5,605x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: possible excessive bracelet perspective"
WW387,true failure,0.91145,0.996,0.535115,0.502,655x1000,RGBA,,canvas|caseW-high|bboxH-high|case-centre-x,"canvas,caseW-high,bboxH-high,case-centre-x; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W262,true failure,0.855714,1.0,0.507857,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
W1368,true failure,0.981413,1.0,0.5,0.5,538x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
WW352,true failure,0.883683,0.934,0.5,0.5,619x1000,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1158,true failure,0.829749,0.933333,0.499104,0.5,558x900,RGBA,,canvas,canvas; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: visible strap holes
W1103,true failure,0.986517,1.0,0.5,0.5,445x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW466,true failure,0.985871,1.0,0.500785,0.5,637x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W117,true failure,0.986231,1.0,0.5,0.5,581x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
WL19,true failure,0.904509,0.934375,0.5,0.499219,754x1280,RGBA,,canvas|caseW-high,"canvas,caseW-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible buckle hardware"
WW61,true failure,0.985222,0.985873,0.500821,0.5,609x991,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WW14,true failure,0.847143,0.997,0.497857,0.5005,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1191,true failure,0.985124,1.0,0.499174,0.5,605x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled rubber strap"
W280,true failure,0.982487,0.988,0.5,0.5,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: possible bracelet or cutout damage at upper edge"
W1184,true failure,0.951768,0.986667,0.483923,0.493333,622x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: head-only presentation with severe clipping or missing strap"
W1383,true failure,0.980932,0.985556,0.498941,0.499444,472x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W141,true failure,0.676758,0.911458,0.513184,0.486328,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: visible strap holes
W286,true failure,0.848571,1.0,0.512857,0.5,700x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled rubber strap"
W1484,true failure,0.606445,0.908203,0.522949,0.49056,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: exposed NATO keeper hardware
W1114,true failure,0.983333,1.0,0.500926,0.5,540x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W122,true failure,0.985612,1.0,0.5,0.5,556x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled rubber strap"
W1352,true failure,0.983425,1.0,0.500921,0.5,543x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW675,true failure,0.930902,0.971,0.473129,0.4975,521x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW341,true failure,0.992995,1.0,0.501751,0.5,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap"
WWN428.17.26.60.04.009,true failure,0.410156,0.911458,0.5,0.5,1024x1536,RGBA,,caseW-low,caseW-low; PASS_CONTENT from 544-watch individual black-background review; human full-resolution review: severely zoomed-out full-strap presentation
WL15,true failure,0.889667,0.979,0.481611,0.5005,571x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WW714,true failure,0.984155,0.984663,0.49912,0.499489,568x978,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with full looped bracelet"
W1104,true failure,0.980496,1.0,0.5,0.5,564x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W265,true failure,0.915,0.994,0.4975,0.5,600x1000,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W1282,true failure,0.987448,1.0,0.5,0.5,478x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
WW866,true failure,0.989091,0.986882,0.498182,0.501514,550x991,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
W295,true failure,0.793345,0.944,0.47373,0.499,571x1000,RGBA,,canvas,canvas; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with full looped bracelet
W1100,true failure,0.998051,1.0,0.500975,0.5,513x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled rubber strap"
WW117,true failure,0.785714,0.989,0.491429,0.5005,700x1000,RGBA,,canvas|bboxH-high,"canvas,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
W1293,true failure,0.768448,0.734444,0.394402,0.386111,393x900,RGBA,,canvas|bboxH-low|case-centre-x|case-centre-y,"canvas,bboxH-low,case-centre-x,case-centre-y; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: head-only or incomplete strap presentation"
W1382,true failure,0.983015,0.992222,0.5,0.503889,471x900,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with looped bracelet"
WWNL3.821.4.53.9,true failure,0.754883,0.907552,0.499512,0.5,1024x1536,RGBA,,,FAIL_CONTENT: exposed NATO keeper hardware does not match the approved presentation; human full-resolution review: full NATO strap hardware visible
W1308,true failure,0.930233,0.982202,0.501661,0.5,301x899,RGBA,,canvas|caseW-high|bboxH-high,"canvas,caseW-high,bboxH-high; PASS_CONTENT from legacy catalog black-background review; human full-resolution review: strong perspective with curled strap and visible underside"
