SKU,Brand,Model_Reference,MarketValue,Pack,Issue,CurrentImageURL_reference
CREM70002D,Orient,Orient 3 Stars EM70002D Mens Watch,158.0,"$50, $125, $250",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CREM70002D.png
CREM70002W,Orient,Orient 3 Stars EM70002W Mens Watch,154.0,"$50, $125, $250",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CREM70002W.png
CREM70004W,Orient,Orient 3 Stars EM70004W Mens Watch,202.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CREM70004W.png
CREM70005B,Orient,Orient 3 Stars EM70005B Mens Watch,158.0,"$50, $125, $250",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CREM70005B.png
CREM70005D,Orient,Orient 3 Stars EM70005D Men's Watch,162.0,"$50, $125, $250",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CREM70005D.png
CREM75003B,Orient,Orient Mako Automatic Diver EM75003B Men's Watch,271.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CREM75003B.png
CREM7P006B,Orient,Orient Classic Automatic Three Star EM7P006B Men's Watch,156.0,"$50, $125, $250",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CREM7P006B.png
CREM7P00EC,Orient,Orient Automatic Three Star EM7P00EC Men's Watch,156.0,"$50, $125, $250",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CREM7P00EC.png
CREP6040-02E,Citizen,Citizen Eco-Drive Promaster Diver's EP6040-02E Women's Watch,227.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CREP6040-02E.png
CRER24008B,Orient,Orient Bambino Collection Black Dial ER24008B Men's Watch,273.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRER24008B.png
CRER2400CN,Orient,Orient Bambino Collection Cream Dial ER2400CN Men's Watch,256.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRER2400CN.png
CRER2400EW,Orient,Orient Bambino Version 2 Automatic FER2400EW0 ER2400EW Men's Watch,273.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRER2400EW.png
CRER2400JW,Orient,Orient Bambino Automatic FER2400JW0 ER2400JW Men's Watch,250.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRER2400JW.png
CRER2400KA,Orient,Orient Bambino Classic Automatic ER2400KA Men's Watch,218.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRER2400KA.png
CRFEM65001MV,Orient,Orient Mako Automatic Diver's Orange Dial FEM65001MV Men's Watch,256.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFEM65001MV.png
CRFEM65001MW,Orient,Orient Mako Automatic FEM65001MW EM65001M,260.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFEM65001MW.png
CRFEM65004M,Orient,Orient Mako Automatic Divers 200M FEM65004M EM65004M Men's Watch,256.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFEM65004M.png
CRFEM65006D,Orient,Orient Mako Automatic FEM65006D EM65006D,260.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFEM65006D.png
CRFEM6500AM9,Orient,Orient Ray Collection Diver Automatic FEM6500AM9 Men's Watch,239.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFEM6500AM9.png
CRFEM7J00AW9,Orient,Orient Automatic Starfish FEM7J00AW9,169.0,"$50, $125, $250",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFEM7J00AW9.png
CRFEM7P00CB,Orient,Orient Automatic Three Star FEM7P00CB Men's Watch,197.0,"$50, $125, $250",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRFEM7P00CB.png
CRH32715531,Hamilton,Hamilton Jazzmaster Viematic H32715531 Men's Watch,816.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRH32715531.png
CRH64455933,Hamilton,Hamilton Khaki King Automatic H64455933 Men's Watch,678.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRH64455933.png
CRH64511133,Hamilton,Hamilton Khaki King H64511133 Men's Watch,661.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRH64511133.png
CRH64511733,Hamilton,Hamilton Khaki King H64511733 Men's Watch,568.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRH64511733.png
CRH64515337,Hamilton,Hamilton Khaki Scuba Automatic H64515337 Men's Watch,802.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRH64515337.png
CRH69429931,Hamilton,Hamilton Khaki Field H69429931 Analog Men's Watch,614.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRH69429931.png
CRH69439363,Hamilton,Hamilton Khaki Field Mechanical Canvas Strap Green Dial H69439363 ,791.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRH69439363.png
CRJP1060-52E,Citizen,Citizen Aqualand Diver Depth Meter Promaster JP1060-52E JP1060 Men,470.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRJP1060-52E.png
CRJP2000-08E,Citizen,Citizen Promaster Aqualand quartz diver mens watch,537.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRJP2000-08E.png
CRJV0007-02E,Citizen,Citizen Promaster Aqualand Eco-Drive Diver's JV0007-02E Men's Watc,592.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRJV0007-02E.png
CRNY0040-09E,Citizen,Citizen Promaster automatic divers black 200M 42 mm watch,418.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRNY0040-09E.png
CRNY0040-09W,Citizen,Citizen Promaster Automatic Diver's NY0040-09W Men's Watch,292.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRNY0040-09W.png
CRNY0040-17L,Citizen,Citizen Promaster Rubber Strap Blue Dial Automatic Diver's NY0040-,439.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRNY0040-17L.png
CRNY0045-05EB,Citizen,Citizen Diver Promaster Automatic Gold NY0045-05E 21 Jewels Watch,286.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRNY0045-05EB.png
CRSRP750K1,Seiko,Seiko 5 Sports Automatic 24 Jewels 100M SRP750 SRP750K1 SRP750K Me,218.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRSRP750K1.png
CRSSC359P1,Seiko,Seiko Sportura Solar Chronograph Perpetual SSC359 SSC359P1 SSC359P,513.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRSSC359P1.png
CRSSC433P1,Seiko,Seiko Solar Chronograph Alarm SSC433 SSC433P1 SSC433P Men's Watch,267.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRSSC433P1.png
CRSYMJ45K1,Seiko,Seiko 5 Sports Automatic 21 Jewels SYMJ45 SYMJ45K1 SYMJ45K Women's,273.0,"$50, $125, $250, $500",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRSYMJ45K1.png
CRVIC241474,Victorinox,Victorinox Alliance Swiss Army Quartz 241474 Men's Watch,547.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241474.png
CRVIC241570,Victorinox,Victorinox Swiss Army Night Vision Quartz 241570 Men's Watch,614.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241570.png
CRVIC241696,Victorinox,Victorinox Maverick Swiss Army Chronograph Tachymeter Quartz 24169,690.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241696.png
CRVIC241697,Victorinox,Victorinox Swiss Army Maverick 241697 Quartz 100M Men's Watch,561.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors) + WATERMARK (needs clean),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241697.png
CRVIC241698,Victorinox,Victorinox Maverick Large Swiss Army Quartz 241698 Men's Watch,517.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241698.png
CRVIC241726,Victorinox,Victorinox Swiss Army I.N.O.X. 241726 Quartz 200M Men's Watch,570.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241726.png
CRVIC241727,Victorinox,Victorinox I.N.O.X. Swiss Army Quartz 200M 241727 Men's Watch,683.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241727.png
CRVIC241733,Victorinox,Victorinox I.N.O.X. Swiss Army Professional Diver 200M Quartz 2417,706.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241733.png
CRVIC241749,Victorinox,Victorinox Alliance Swiss Army Chronograph Quartz 241749 Men's Wat,552.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241749.png
CRVIC241756,Victorinox,Victorinox Alliance Small Swiss Army Quartz 241756 Women's Watch,628.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241756.png
CRVIC241769,Victorinox,Victorinox I.N.O.X. V Swiss Army Quartz 200M 241769 Women's Watch,585.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241769.png
CRVIC241778,Victorinox,Victorinox I.N.O.X. Titanium Swiss Army Quartz 200M 241778 Men's W,728.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241778.png
CRVIC241782,Victorinox,Victorinox Swiss Army I.N.O.X. Professional Diver Anti-Magnetic 24,660.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241782.png
CRVIC241787,Victorinox,Victorinox Maverick Large Black Edition Swiss Army Quartz 241787 M,663.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241787.png
CRVIC241816,Victorinox,Victorinox Swiss Army Alliance Sport 241816 Quartz Chronograph 100,561.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241816.png
CRVIC241843,Victorinox,Victorinox I.N.O.X. Nylon Blue Dial Diver's Quartz 241843 200M Men,833.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241843.png
CRVIC241844,Victorinox,Victorinox Swiss Army I.N.O.X Professional Diver Quartz 241844 200,673.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241844.png
CRVIC241856,Victorinox,Victorinox Fieldforce Chronograph White Dial Quartz 241856 100M Me,524.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241856.png
CRVIC241860,Victorinox,Victorinox I.N.O.X. Carbon Blue Textile Diver's Blue Dial Quartz 2,811.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241860.png
CRVIC241861,Victorinox,Victorinox I.N.O.X. Carbon Grey Textile Diver's Quartz 241861 200M,777.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241861.png
CRVIC241883,Victorinox,Victorinox I.N.O.X. Black Dial Rubber Quartz 241883 200M Men's Wat,586.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241883.png
CRVIC241918,Victorinox,Victorinox I.N.O.X. V Stainless Steel Black Dial Quartz 241918 100,510.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241918.png
CRVIC241928,Victorinox,Victorinox Fieldforce Classic Chronograph Black Dial Quartz 241928,658.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241928.png
CRVIC241946,Victorinox,Victorinox Swiss Army Maverick Chronograph Stainless Steel Green D,811.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241946.png
CRVIC241991,Victorinox,Victorinox Dive Pro Rubber Strap Blue Dial Quartz Diver's 241991 3,848.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC241991.png
CRVIC242007,Victorinox,Victorinox Swiss Army Maverick Large Stainless Steel Blue Dial Qua,714.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC242007.png
CRVIC242014,Victorinox,Victorinox Journey 1884 Rubber Strap Black Dial Quartz Diver's 242,712.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC242014.png
CRVIC242047,Victorinox,Victorinox Swiss Army Chronograph Leather Strap Blue Dial Quartz 2,693.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/CRVIC242047.png
W1116,Breitling,BREITLING Chronomat B01 42MM Green Dial Rubber Men's Watch UB01341,10300.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W1116.png
W1635,Tissot,TISSOT Chemin Des Tourelles Squelette 39MM Men's Watch T139.836.11,1365.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W1635.png
W1710,Tissot,TISSOT Seastar 1000 45.5MM CHRONO Black Dial Men's Watch T120.417.,941.0,"$50, $125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W1710.png
W1711,Tissot,TISSOT PR 100 Black MOP Dial 36MM Women's Watch T101.910.61.121.00,1584.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W1711.png
W185,Breitling,BREITLING Super Avi B04 Chronograph GMT 46MM Tribute to Vought F4U,8875.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W185.png
W19,Breitling,BREITLING Super Chronomat B01 Automatic 44MM Brown Dial 18K Rose G,30205.0,"$500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W19.png
W193,Breitling,BREITLING Avenger Automatic Night Mission 42MM Black Leather Men's,6100.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W193.png
W2100,TAG Heuer,TAG HEUER Carrera AUTO 43MM CHRONO SS Black Dial Men's Watch CV2A1,8269.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2100.png
W2101,TAG Heuer,TAG HEUER Carrera AUTO 44MM Green Dial Rubber Men's Watch CBN2A1N.,7050.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2101.png
W2102,TAG Heuer,TAG HEUER Carrera CHRONO AUTO 44MM Green Dial Men's Watch CBN2A1N.,7300.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2102.png
W2103,TAG Heuer,TAG HEUER Carrera Porsche Orange Racing AUTO 44MM Leather Men's Wa,8100.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2103.png
W2104,TAG Heuer,TAG HEUER Carrera Porsche Special Edition AUTO 44MM SS Men's Watch,7550.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2104.png
W2105,TAG Heuer,TAG HEUER Aquaracer AUTO 40MM SS Green Dial Men's Watch WBP2115.BA,3701.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2105.png
W2106,TAG Heuer,TAG HEUER Aquaracer 36MM AUTO Diamond SS Women's Watch WBP231K.BA0,4345.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2106.png
W2109,TAG Heuer,TAG HEUER Autavia Chronometer Flyback AUTO 42MM Men's Watch CBE511,7556.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2109.png
W2110,TAG Heuer,TAG HEUER Formula 1 X Gulf Quartz 43MM CHRONO SS Men's Watch CAZ10,2788.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2110.png
W2112,TAG Heuer,TAG HEUER Aquaracer AUTO Diamond 30MM SS Women's Watch WBP2411.BA0,3900.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2112.png
W2113,TAG Heuer,TAG HEUER Formula 1 X Red Bull Racing Quartz 43MM SS Men's Watch C,3360.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2113.png
W2115,TAG Heuer,TAG HEUER Carrera AUTO 42MM CHRONO SS Black Dial Men's Watch CBN20,6624.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2115.png
W2117,TAG Heuer,TAG HEUER Aquaracer Professional 1000 Superdiver 45MM Men's Watch ,7425.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2117.png
W2118,TAG Heuer,TAG HEUER Carrera Auto 44MM Black Rubber Men's Watch CBN2A1AA.FT62,5320.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2118.png
W2119,TAG Heuer,TAG HEUER Carrera 44MM AUTO SS Black Dial Men's Watch CBN2A1AA.BA0,5749.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2119.png
W212,Hamilton,HAMILTON Khaki Field Murph Automatic 42MM Black Leather Men's Watc,1589.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W212.png
W2120,TAG Heuer,TAG HEUER Aquaracer AUTO 36MM SS Black Dial Women's Watch WBP231D.,3704.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2120.png
W2121,TAG Heuer,TAG HEUER Formula 1 43MM X Red Bull Racing Rubber Men's Watch CAZ1,3145.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2121.png
W2122,TAG Heuer,TAG HEUER Aquaracer 200M 40MM AUTO SS Men's Watch WBP2110.BA0627,3484.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2122.png
W2123,TAG Heuer,TAG HEUER Aquaracer 30MM Diamond MOP Dial Women's Watch WBP1416.BA,3444.0,"$125, $250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2123.png
W2126,TAG Heuer,TAG HEUER Carrera Calibre Heuer 02 CHRONO 42MM Men's Watch CBN2011,6799.0,"$250, $500, $1000, $5000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W2126.png
W213,Hamilton,HAMILTON Khaki Navy GMT Automatic 43MM Silver Dial Men's Watch H82,1585.0,"$125, $250, $500, $1000",ANGLED-P1 (both auditors),https://raw.githubusercontent.com/AveryArtlife/gembreak-images/main/watches-only/W213.png
